balancing_authority,subregion,lat,long
BHBA,BASI,46.838409150800516,-100.76504191730879
BHBA,SDE,44.065880170665075,-103.24539183492058
BHBA,WYE,44.29007390960785,-105.52075467650843
CISO,PGAE,39.236507927411,-121.51549271845833
CISO,SDGE,32.835572568607724,-117.14190962626662
CISO,SCE,34.070836370426164,-118.07676969466793
CISO,VEA,36.21877223600763,-116.00141792008239
ERCO,COAS,29.765310554911053,-95.29417956196008
ERCO,EAST,32.37686716132503,-95.28727261214487
ERCO,FWES,31.99012955550107,-101.95114141086891
ERCO,NRTH,33.92124023361459,-98.39558647022507
ERCO,NCEN,32.78527688504852,-96.7754529871883
ERCO,SOUT,27.785258033245352,-97.39387937413436
ERCO,SCEN,30.22306757380346,-97.68525784903933
ERCO,WEST,32.45279919188652,-99.73244242993329
ISNE,4004,41.76633333283441,-72.68009816880368
ISNE,4001,43.681440039847615,-70.1054983456688
ISNE,4002,43.20919489645053,-71.48379735607665
ISNE,4008,42.34785199735183,-71.08039063021398
ISNE,4005,41.798166317200604,-71.40420591079658
ISNE,4006,41.89056484134799,-70.93292115689924
ISNE,4003,44.26055420328352,-72.48181363914833
ISNE,4007,42.238605539555955,-72.53259351280796
MISO,0001,45.45354932217992,-94.20368922196936
MISO,0004,40.15487369393154,-88.97131451098602
MISO,0006,39.37011771683217,-86.26497330616202
MISO,0027,42.639267335495006,-83.29340340956526
MISO,0035,41.5742130294153,-93.43757591031401
MISO,8910,30.466257321095796,-91.0832381556333
NYIS,ZONF,42.619748265429166,-73.62045647252195
NYIS,ZONC,42.448246162374964,-76.52562217011499
NYIS,ZONI,40.935522970633514,-73.86058691001465
NYIS,ZONB,43.14970236698889,-77.60730629535111
NYIS,ZONG,41.931204420822255,-74.01288221156128
NYIS,ZONK,40.77576816996596,-73.52548396433124
NYIS,ZONH,41.19128709990747,-73.79762863764918
NYIS,ZONE,43.09956615643365,-75.22731436796273
NYIS,ZONJ,40.71248594715436,-73.9933510058446
NYIS,ZOND,44.697533915772105,-73.4742096810979
NYIS,ZONA,42.8680508886635,-78.70645809133975
PJM,AP,39.6322873462425,-79.87558440213364
PJM,AEP,39.981376020586005,-82.59390689125591
PJM,ATSI,41.51388908282668,-81.49043932705241
PJM,AE,39.36468346248803,-74.26339582482764
PJM,BC,39.297248257251866,-76.61916557311541
PJM,CE,41.87740403793428,-87.6646495401114
PJM,DAY,39.779831463384156,-84.01562715901213
PJM,DPL,38.35908097747555,-75.56214989916845
PJM,DOM,37.561719789503805,-77.09510674175415
PJM,DEOK,39.111688848259575,-84.51247038039891
PJM,DUQ,40.44324192960855,-79.99823396978763
PJM,EKPC,37.71463514437179,-84.14496204042231
PJM,JC,39.96321838826559,-74.19143318827655
PJM,ME,40.27847366678475,-76.88684662041
PJM,PE,39.959950546548896,-75.16808154727977
PJM,PN,40.524890340096505,-78.27431798643113
PJM,PL,41.41412771559486,-75.66098131627624
PJM,PEP,38.91137721681495,-77.03832612704443
PJM,PS,40.523412928513835,-74.41924368494729
PJM,RECO,41.057848603291866,-74.14332791286947
PNM,ACMA,34.898655862999455,-107.587535983526
PNM,CYGA,35.52786225584053,-108.74307687018955
PNM,Frep,32.6260035919827,-108.34452121842837
PNM,Jica,36.93344264670334,-106.99853427278367
PNM,KAFB,35.049079578203575,-106.55055688447528
PNM,KCEC,36.39101091960507,-105.58099150299819
PNM,LAC,35.88081609271447,-106.30281420647772
PNM,PNM,35.599555658446334,-106.04462684451495
PNM,TSGT,35.42134654470914,-108.07807542481598
SWPP,CSWS,33.42552613309914,-94.05864275880278
SWPP,SPRM,37.21744527015514,-93.30857550627596
SWPP,EDE,37.50746944579881,-94.2351706347686
SWPP,GRDA,36.259177058736924,-95.26777758883355
SWPP,INDN,40.48879263948574,-94.70820473461893
SWPP,MPS,38.646796367227445,-94.32398636592775
SWPP,KACY,39.09275714113342,-94.63673472387744
SWPP,KCPL,39.09760114119087,-94.58472748626683
SWPP,LES,40.814207796946015,-96.70744213396284
SWPP,NPPD,41.44092550773287,-97.34571066559621
SWPP,OKGE,35.26406499584432,-97.49095874117593
SWPP,OPPD,41.244955845527315,-96.01705101334407
SWPP,SPS,35.21968204273868,-101.85340213529915
SWPP,SECI,37.764220536143725,-100.0153334949923
SWPP,WR,39.04873497351224,-95.67512741891639
SWPP,WAUE,43.56135773452784,-96.73426731526821
SWPP,WFEC,36.44120005537734,-99.3963562897152
SWPW,PRPA,40.53887153841441,-105.0401860497648
SWPW,WACM,39.78033213506275,-105.12797705073179
SWPW,WAUW,45.792082975826,-108.49826689445034
